Active (0/1),Name *,Parent category,URL Simplifier,Root category (0/1)
1,Hub USB,Pack Électroménager,Hub USB1,0
1,Lampe de Bureau,Pack Électroménager,Lampe de Bureau1,0
1,Support Ecran,Pack Électroménager,Support Ecran1,0
1,Accessoires Divers,Pack Électroménager,Accessoires Divers1,0
1,Station d'accueil,Pack Électroménager,Station d'accueil1,0
1,Accessoires Visioconférence,Pack Électroménager,Accessoires Visioconférence1,0
1,Sac à Dos Scolaire,Téléviseurs,Sac à Dos Scolaire1,0
1,Sac à Goûter,Téléviseurs,Sac à Goûter1,0
1,Trousse,Téléviseurs,Trousse1,0
1,Accessoires sac à dos,Téléviseurs,Accessoires sac à dos1,0
1,Processeur,Récepteurs Numériques & Abonnement,Processeur1,0
1,Carte Graphique,Récepteurs Numériques & Abonnement,Carte Graphique1,0
1,Barrettes Mémoire,Récepteurs Numériques & Abonnement,Barrettes Mémoire1,0
1,Carte Mère,Récepteurs Numériques & Abonnement,Carte Mère1,0
1,Boîtier,Récepteurs Numériques & Abonnement,Boîtier1,0
1,Bloc d'alimentation,Récepteurs Numériques & Abonnement,Bloc d'alimentation1,0
1,Chargeur PC Portable,Récepteurs Numériques & Abonnement,Chargeur PC Portable1,0
1,Batterie PC Portable,Récepteurs Numériques & Abonnement,Batterie PC Portable1,0
1,Afficheur Ecran,Récepteurs Numériques & Abonnement,Afficheur Ecran1,0
1,Ventilateur,Récepteurs Numériques & Abonnement,Ventilateur1,0
1,Graveurs et Lecteurs,Récepteurs Numériques & Abonnement,Graveurs et Lecteurs1,0
1,Clavier PC Portable,Récepteurs Numériques & Abonnement,Clavier PC Portable1,0
1,Pâte thermique,Récepteurs Numériques & Abonnement,Pâte thermique1,0
1,Pc Portable,Son Numérique,Pc Portable1,0
1,PC Gamer,Son Numérique,PC Gamer1,0
1,PC Portable Pro,Son Numérique,PC Portable Pro1,0
1,Mac,Son Numérique,Mac1,0
1,UltraBook,Son Numérique,UltraBook1,0
1,Ecran Portable,Son Numérique,Ecran Portable1,0
